45.976187,6,030513
43.625326,7,04822
43.702551,7,183291
48,296596,3,999968
43,169296,2,924588
43,445841,5,221898
43,317059,5,367216
45,600524,0,068338
45,760676,-0,676297
47,052882,2,347299
45,152635,1,468563
47,288277,5,024676
48,466728,-2,782506
47,230588,5,893658
44,893809,4,86313
49,545409,0,125191
48,43598,1,524614
48,439099,-4,426907
43,629285,1,42156
44,826436,-0,692694
43,577494,3,869051
48,076043,-1,725468
47,343466,0,636661
45,263034,5,620023
43,715965,-1,223776
47,283057,-1,47724
47,930204,1,847191
47,490657,-0,491005
49,154918,-0,478376
49,235771,4,092951
48,640427,6,192223
47,659359,-2,696178
49,23452,6,213612
50,623907,3,020404
50,406197,3,012148
45,833631,3,135621
43,325358,-0,302502
42,795567,2,879506
48,585839,7,709031
47,724633,7,290323
45,682203,4,922699
45,749214,4,935694
46,264888,4,795488
48,046851,0,214006
45,587871,5,884577
48,781444,2,427888
48,867201,2,321613
49,294835,1,106372
48,822184,2,722263
48,755954,1,93098
46,291691,-0,451893
50,333723,3,441901
43,91759,2,074199
43,161716,6,052393
44,012049,4,886806
43,838104,4,418004
46,606849,0,327328
45,894511,1,276366
48,94299,2,3109
48,911464,2,433048
48,75473,2,366386
49,038529,2,153454
48,991746,2,542274
48,832352,2,390197
48,852055,2,286123
48,898287,2,365383
43,703047,7,260478
43,464343,5,605806
44,886206,-0,541271
45,871873,4,747634
48,700582,2,615022
48,762424,2,121867
49,874257,2,373262
43,467748,6,733887
46,668664,-1,347054
48,717722,2,308143
45,773444,5,035226
48,969239,2,489983
43,451555,6,693738
48,823103,2,368591
44,57811,6,126146
45,46733,4,434427
43,488977,-1,419335
47,973781,-4,001753
49,30996,-1,260446
48,952786,2,193268
48,755736,2,481253
48,703283,2,304307
45,686745,4,84979
43,5547339282966,1,41568465612776
43,3481782888657,5,36643361194583
